Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link
Reponen licitación de Mi Bici y queda mismo proveedor;11/09/2020;Meganoticias;Bicicleta;Bici pública;Servicio;https://www.meganoticias.mx/guadalajara/noticia/reponen-licitacion-de-mi-bici-y-queda-mismo-proveedor/179643
Disputa “Mi Bici”, socio del secretario de Desarrollo Económico;10/09/2020;Lider 919;Bicicleta;Bici pública;Varios;https://lider919.com/disputa-mi-bici-socio-del-secretario-de-desarrollo-economico/
Pagarán por vandalizar ciclovía;10/09/2020;Mural;Bicicleta;Ciclovía;Varios;https://www.mural.com/pagaran-por-vandalizar-ciclovia/ar2027953
Licitación fallida atora planes para crecer programa MiBici;09/09/2020;El Informador;Bicicleta;Bici pública;Varios;https://www.informador.mx/jalisco/Licitacion-fallida-atora-planes-para-crecer-programa-MiBici--20200909-0027.html
LA CAÍDA DEL PROGRAMA MIBICI EN GUADALAJARA;09/09/2020;Reporte indigo;Bicicleta;Bici pública;Varios;https://www.reporteindigo.com/reporte/la-caida-del-programa-mibici-en-guadalajara-contratos-concesiones-cargo-servicio/
Vía Recreactiva en Zapopan aun no debe iniciar operaciones según encuesta;09/09/2020;Trafico ZMG;Bicicleta;Vía recreactiva;COVID 19;https://traficozmg.com/2020/09/via-recreactiva-en-zapopan-aun-no-debe-iniciar-operaciones-segun-encuesta/
Este domingo reinicia la Vía RecreActiva, pero solo en Zapopan;08/09/2020;EL Informador;Bicicleta;Vía recreactiva;Servicio;https://www.informador.mx/jalisco/Este-domingo-reinicia-la-Via-RecreActiva-pero-solo-en-Zapopan-20200908-0064.html
MiBici, con fallas y en problemas;07/09/2020;NTR Guadalajara;Bicicleta;Bici pública;Servicio;https://www.ntrguadalajara.com/post.php?id_nota=154368
Tras quejas, Mi Bici elimina recargos a usuarios;07/09/2020;NTR Guadalajara;Bicicleta;Bici pública;Servicio;https://www.ntrguadalajara.com/post.php?id_nota=154382
Licitación cancelada de ‘Mi Bici’ provoca deficiencia en el servicio y afecta a usuarios;07/09/2020;Lider 919;Bicicleta;Bici pública;Servicio;https://lider919.com/licitacion-cancelada-de-mi-bici-provoca-deficiencia-en-el-servicio-y-afecta-a-usuarios/
Operación del sistema MiBici será restablecida en su totalidad en los próximos días;07/09/2020;Cronica Jalisco;Bicicleta;Bici pública;Servicio;https://www.cronicajalisco.com/notas-operacion_del_sistema_mibici_sera_restablecida_en_su_totalidad_en_los_proximos_dias-103386-2020
Enfrenta el programa MiBici de Guadalajara uno de sus momentos más complicados;07/09/2020;Publimetro;Bicicleta;Bici pública;Servicio;https://www.publimetro.com.mx/mx/noticias/2020/09/07/enfrenta-programa-mibici-guadalajara.html
Ciclistas denuncian asaltos en plena avenida Niños Héroes;07/09/2020;UDGTV;Bicicleta;Bicicleta;Seguridad;http://udgtv.com/noticias/ciclistas-denuncian-asaltos-plena-avenida-ninos-heroes/
Ponchan fallas a red de MiBici;06/09/2020;Mural;Bicicleta;Bici pública;Servicio;https://www.mural.com/ponchan-fallas-a-red-de-mibici/ar2024590?v=2
Roban cuchilleros a ciclistas en ciclovía en Niños Héroes;06/09/2020;Mural;Bicicleta;Bicicleta;Seguridad;https://www.mural.com/roban-cuchilleros-a-ciclistas-en-ciclovia-en-ninos-heroes/ar2024933
Tras término de contrato, dejan en el aire operación de MiBici;05/09/2020;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/Tras-termino-de-contrato-dejan-en-el-aire-operacion-de-MiBici-20200905-0015.html
Reportan fallas en MiBici;03/09/2020;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/Reportan-fallas-en-MiBici-20200903-0128.html
Asaltan a ciclistas en Pueblo Quieto;03/09/2020;Mural;Bicicleta;Seguridad;Asaltos;https://www.mural.com/asaltan-a-ciclistas-en-pueblo-quieto/ar2023367?v=5
Van por ciclovías para el oriente;20/08/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=153526
Las ciclovías crecerán con el objetivo de evitar cada vez más el uso del transporte público;20/08/2020;Canal 44;Bicicleta;Ciclovía;Infraestructura;https://www.youtube.com/watch?v=sQs4oTvPDTg
Aquí los avances de “Tú y la ciudad, por una Guadalajara tranquila y ordenada”;19/08/2020;El Occidental;Bicicleta;Ciclovía;Infraestructura;https://www.eloccidental.com.mx/local/noticias-ismael-del-toro-aqui-los-avances-de-tu-y-la-ciudad-por-una-guadalajara-tranquila-y-ordenada-5646029.html
Desarrollan en Puerto Vallarta sistema de ciclovía;19/08/2020;Quadratin;Bicicleta;Ciclovía;Infraestructura;https://jalisco.quadratin.com.mx/puerto-vallarta/desarrollan-en-puerto-vallarta-sistema-de-ciclovias/
Evidencia grabación a chofer que arrolló a ciclista;16/08/2020;Mural;Bicicleta;Ciclovía;Siniestralidad;https://www.mural.com/evidencia-grabacion-a-chofer-que-arrollo-a-ciclista/ar2010778
Instalan séptima bicicleta blanca del año en honor a Carolina;16/08/2020;Zonadocs;Bicicleta;Ciclovía;Siniestralidad;https://www.zonadocs.mx/2020/08/16/instalan-septima-bicicleta-blanca-del-ano-en-honor-a-carolina/
Analizarán los cruceros peligrosos para ciclistas;16/08/2020;Pagina 24;Bicicleta;Ciclovía;Siniestralidad;https://pagina24jalisco.com.mx/2020/08/16/local/analizaran-los-cruceros-peligrosos-para-ciclistas/
Tapatíos piden el regreso de la Vía RecreActiva;16/08/2020;El Occidental;Bicicleta;Ciclovía;Vía recreactiva;https://www.eloccidental.com.mx/local/tapatios-piden-el-regreso-de-la-via-recreactiva-5632594.html
Tras muerte de ciclista en Aviación, colectivo instala bicicleta;15/08/2020;El Informador;Bicicleta;Ciclovía;Siniestralidad;https://www.informador.mx/jalisco/Tras-muerte-de-ciclista-en-Aviacion-colectivo-instala-bicicleta-20200815-0047.html
Entregan primera etapa de ciclovía Chapala - Jocotepec;07/08/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Entregan-primera-etapa-de-ciclovia-Chapala---Jocotepec-20200807-0092.html
Vecinos se quejan de obras de ciclovía;04/08/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=152754
Justifican ciclovía en camellón;28/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/justifican-ciclovia-en-camellon/ar1996963?sc=984
Remodelan ciclovía de Federalismo;25/07/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=152212
Proponen que ingresos por multas se destinen a movilidad no motorizada;24/07/2020;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2020/07/proponen-que-ingresos-por-multas-se-destinen-a-movilidad-no-motorizada/
COLECTIVOS Y ORGANIZACIONES PIDEN ATENDER 10 AÑOS DE REZAGO EN MOVILIDAD CICLISTA EN JALISCO;23/07/2020;Zona Docs;Bicicleta;Ciclovía;Infraestructura;https://www.zonadocs.mx/2020/07/23/colectivos-y-organizaciones-piden-atender-10-anos-de-rezago-en-movilidad-ciclista-en-jalisco/
Demandan organizaciones ciclistas que 9% del crédito de 6 mil 200 MDP se destine a ciclovías;21/07/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/demandan-organizaciones-ciclistas-que-9-del-credito-de-6-mil-200-mdp-se-destine-a-ciclovias/
Piden concluir la red interconectada de ciclovías en la ZMG;21/07/2020;El Occidental;Bicicleta;Ciclovía;Infraestructura;https://www.eloccidental.com.mx/local/noticias-red-interconectada-zona-metropolitana-ciclistas-emergencia-sanitaria-pandemia-presupuesto-estado-de-jalisco-5521418.html
Piden 9% del crédito para hacer corredores ciclistas;20/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://busquedas.gruporeforma.com/mural/Documento/Web.aspx?id=4207692|ArticulosCMS&url=https://img.gruporeforma.com/imagenes/ElementoRelacionado/7/253/6252127.jpg&text=piden+el+9+%25&tit=&_mather=69cdd00ed7b6c2dc
Piden ciclistas 9% del crédito de reactivación económica para ciclovías;20/07/2020;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/reactivacion-economica-ciclistas-piden-9-credito-ciclovias
Ciclistas piden 9% del crédito de reactivación económica para ciclovías;20/07/2020;Telediario;Bicicleta;Ciclovía;Infraestructura;https://gdl.telediario.mx/local/ciclistas-piden-9-del-credito-de-reactivacion-economica-para-ciclovias
PIDEN 9% DEL PRESUPUESTO PARA MOVILIDAD CICLISTA EN JALISCO;20/07/2020;Pasajero 7;Bicicleta;Ciclovía;Infraestructura;http://www.pasajero7.com/piden-presupuesto-movilidad-ciclista-jalisco/
Urgen terminar en Chapalita;16/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/urgen-terminar-en-chapalita/ar1988704
Acuerdan ciclovía en Avenida Guadalupe;14/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/acuerdan-ciclovia-en-avenida-guadalupe/ar1987026
Se recupera MiBici;13/07/2020;Mural;Bicicleta;Bici pública;COVID 19;https://www.mural.com/se-recupera-mibici/ar1986924
Guadalajara y Zapopan prevén triplicar extensión de sus ciclovías este año;13/07/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/Guadalajara-y-Zapopan-preven-triplicar-extension-de-sus-ciclovias-este-ano-l202007130001.html
Con la ciclovía por la derecha en Avenida Guadalupe “ganó la ciudad”: colectivos ciclistas;13/07/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/con-la-ciclovia-por-la-derecha-en-avenida-guadalupe-gano-la-ciudad-colectivos-ciclistas/
"Reanudan obras de ciclovía en avenida Guadalupe; hubo acuerdo con opositores";13/07/2020;Cronica Jalisco;Bicicleta;Ciclovía;Infraestructura;https://www.cronicajalisco.com/notas-reanudan_obras_de_ciclovia_en_avenida_guadalupe_hubo_acuerdo_con_opositores-101095-2020
Aceptan vecinos la construcción de la ciclovía en Avenida Guadalupe;13/07/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.debate.com.mx/guadalajara/Aceptan-vecinos-la-construccion-de-la-ciclovia-en-Avenida-Guadalupe-20200713-0327.html
"Se reanuda obra de ciclovía de avenida Guadalupe; la ruta tendrá 4.2 kilómetros";13/07/2020;UDGTV;Bicicleta;Ciclovía;Infraestructura;http://udgtv.com/noticias/se-reanuda-obra-ciclovia-avenida-guadalupe-tendra-4-2-kilometros/
Modifican proyecto de ciclovía en la avenida Hidalgo;13/07/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/modifican-proyecto-de-ciclovia-en-la-avenida-hidalgo/
Cae a la mitad el uso de MiBici;12/07/2020;El Informador;Bicicleta;Bici pública;COVID 19;https://www.informador.mx/jalisco/Cae-a-la-mitad-el-uso-de-MiBici-20200712-0013.html
Ciclovía en Avenida Guadalupe se queda en el carril derecho;11/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/ciclovia-en-avenida-guadalupe-se-queda-en-el-carril-derecho/ar1985739
Vecinos aceptan construcción de ciclovía en Guadalupe;11/07/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=151530
"Ciudadanos y Ayuntamiento llegan a un acuerdo; ciclovía será por la derecha";11/07/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Ciudadanos-y-Ayuntamiento-llegan-a-un-acuerdo-ciclovia-sera-por-la-derecha--20200711-0065.html
Llega Zapopan a un acuerdo para continuar ciclovía en Avenida Guadalupe;11/07/2020;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/zapopan-vecinos-llegan-a-un-acuerdo-para-continuar-ciclovia
"Gobierno y vecinos logran acuerdos; va ciclovía en Guadalupe";11/07/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/gobierno-y-vecinos-logran-acuerdos-va-ciclovia-en-guadalupe/162761
Obtiene Zapopan acuerdo con vecinos para continuar ciclovía en avenida Guadalupe;11/07/2020;Telediario;Bicicleta;Ciclovía;Infraestructura;https://gdl.telediario.mx/local/zapopan-obtiene-zapopan-acuerdo-con-vecinos-para-continuar-ciclovia-en-avenida-guadalupe
Vecinos sostienen diálogo por ciclovía;10/07/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=151482
“Que la vía ciclista se haga, pese a inconformidad”;10/07/2020;Pagina 24;Bicicleta;Ciclovía;Infraestructura;https://pagina24jalisco.com.mx/2020/07/10/local/que-la-via-ciclista-se-haga-pese-a-inconformidad/
Con rodada, ciclistas reviran a favor de la ciclovía en Guadalupe;09/07/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=151446
Ruedan a favor de la ciclovía de Avenida Guadalupe;09/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/ruedan-a-favor-de-la-ciclovia-de-avenida-guadalupe/ar1984547?v=2
Ciclistas toman la ciclovía de Guadalupe en pro de su construcción;09/07/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Ciclistas-toman-la-ciclovia-de-Guadalupe-en-pro-de-su-construccion-20200709-0125.html
Ciclistas se manifiestan a favor de la ciclovía en Guadalupe;09/07/2020;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/ciclovia-guadalupe-rodada-ciclistas-manifiestan-favor
Vecinos interponen queja ante CEDHJ por ciclovía de Guadalupe;09/07/2020;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/ciclovia-vecinos-interponen-queja-ante-cedhj
"Socializa Ayuntamiento de Zapopan con habitantes de Avenida Guadalupe, sobre la construcción de la ciclovía; realizarán acuerdos";09/07/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/socializa-ayuntamiento-de-zapopan-con-habitantes-de-avenida-guadalupe-sobre-la-construccion-de-la-ciclovia-realizaran-acuerdos/
Ciclistas pedalean a favor de la ciclovía en Guadalupe ;09/07/2020;Quadrin Jalisco;Bicicleta;Ciclovía;Infraestructura;https://jalisco.quadratin.com.mx/guadalajara/ciclistas-pedalean-a-favor-de-la-ciclovia-en-guadalupe/
Bajo la lluvia y escoltada por policías, continúa la construcción de la ciclovía de Av. Guadalupe;08/07/2020;UDGTV;Bicicleta;Ciclovía;Infraestructura;http://udgtv.com/noticias/lluvia-continua-construccion-ciclovia-av-guadalupe/
Ayuntamiento zapopano advierte que ciclovía en Guadalupe va sí o sí;08/07/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/ayuntamiento-zapopano-advierte-que-ciclovia-en-guadalupe-va-si-o-si/
Instalan “quesadillas” sobre la ciclovía de Guadalupe ante oposición de algunos vecinos;08/07/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/instalan-quesadillas-sobre-la-ciclovia-de-guadalupe-ante-oposicion-de-algunos-vecinos/
